Name,Title,Description,Rarity,Icon
Rwd_AgeOfTriumph,Age of Triumph,"As the events of Destiny 1 come to an end, you will face trials and earn rewards befitting a hero of Light.",Legendary,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_AgeOfTriumph.Rwd_AgeOfTriumph'
Rwd_ArchonsForge,Archon's Forge,In the Plaguelands there is a gathering place for the forces of darkness. Make and offering and slay them where they gather.,Legendary,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_ArchonsForge.Rwd_ArchonsForge'
Rwd_Arm_Legendary,Legendary Armor,A piece of legendary armor.,Legendary,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_Arm_Legendary.Rwd_Arm_Legendary'
Rwd_Arm_Rare,Rare Armor,A piece of rare armor.,Rare,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_Arm_Rare.Rwd_Arm_Rare'
Rwd_Arm_Uncommon,Uncommon Armor,A piece of uncommon armor.,Uncommon,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_Arm_Uncommon.Rwd_Arm_Uncommon'
Rwd_Arm_Upgrade,Armor Upgrade,An exotic armor upgrade.,Exotic,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_Arm_Upgrade.Rwd_Arm_Upgrade'
Rwd_Book_RiseOfIron,Record Book: Rise of Iron,A reward for ranking up in the Rise of Iron record book.,Legendary,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_Book_RiseOfIron.Rwd_Book_RiseOfIron'
Rwd_CharacterCreation,Character Creation,There is something new to see on the character select screen.,Common,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_CharacterCreation.Rwd_CharacterCreation'
Rwd_CrimsonDoubles,Crimson Doubles,The Crimson Doubles event holds many unique rewards for duos in the crucible.,Legendary,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_CrimsonDoubles.Rwd_CrimsonDoubles'
Rwd_Crucible,Crucible,The Crucible will test your strength against the most formidable opponents: other guardians.,Common,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_Crucible.Rwd_Crucible'
Rwd_Crucible_Activity,Crucible Activities,A reward for competing in the Crucible.,Common,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_Crucible_Activity.Rwd_Crucible_Activity'
Rwd_Cryptarchy,The Cryptarchy,Gain reputation with the Cryptarchy by decoding engrams and completing certain activities.,Common,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_Cryptarchy.Rwd_Cryptarchy'
Rwd_Dreadnaught,Location: Dreadnaught,The Dreadnaught near Saturn holds many secrets and treasures.,Common,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_Dreadnaught.Rwd_Dreadnaught'
Rwd_Earth,Location: Earth,Old Russia is where your guardian's journey began anew. New secrets and treasures are bound to have survived the Collapse.,Common,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_Earth.Rwd_Earth'
Rwd_ErisMorn,Crota's Bane,Crota is a powerful force of Darkness. Join Eris Morn in opposing Crota's will.,Common,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_ErisMorn.Rwd_ErisMorn'
Rwd_EvolveItem,Evolution Item,This item evolves from another Item.,Legendary,Texture2D'/Game/ReDestiny/Textures/RewardSources/Rwd_EvolveItem.Rwd_EvolveItem'
