Name,Title,Description,EXPtoUnlock,Icon
Aftermath,Aftermath,Fist of Havoc leaves a damage-dealing field in its wake.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Aftermath.Aftermath'
Aftershocks,Aftershocks,"Increases the duration of Pulse Grenade, Lightning Grenade, and Aftermath.",0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Aftershocks.Aftershocks'
Amplify,Amplify,Kills with Storm Fist significantly reduce the cooldown of Fist of Havoc.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Amplify.Amplify'
Amplitude,Amplitude,Your Thunderstrike has greater range.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Amplitude.Amplitude'
AncestralOrder,Ancestral Order,Training focused on all attributes.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Warlock_StatBuff2.Warlock_StatBuff2'
AngelOfLight,Angel of Light,Aiming your weapon while in the air will hold you in place for a short time.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/AngelOfLight.AngelOfLight'
AngryMagic,Angry Magic,Nova Bomb tracks enemies.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/AngryMagic.AngryMagic'
Annihilate,Annihilate,Increases the size of explosions created by Nova Bomb and grenades.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Annihilate.Annihilate'
ArcaneForce,Arcane Force,Training focused on toughness and speed.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Warlock_StatBuff1.Warlock_StatBuff1'
ArcaneSpirit,Arcane Spirit,Training focused on battle recovery and toughness.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Warlock_StatBuff1.Warlock_StatBuff1'
ArcaneWisdom,Arcane Wisdom,Training focused on battle recovery and speed.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Warlock_StatBuff1.Warlock_StatBuff1'
ArcBlade,Arc Blade,Charge your blade with Arc Light and consume your foes with lightning.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/ArcBlade.ArcBlade'
ArcboltGrenade,Arcbolt Grenade,A grenade that chains bolts of lightning to nearby enemies.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/ArcboltGrenade.ArcboltGrenade'
ArcWeb,Arc Web,Enemies damaged by your grenades chain deadly lightning to nearby enemies.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/ArcWeb.ArcWeb'
ArmorOfLight,Armor of Light,While inside Ward of Dawn you and your allies gain significant damage resistance.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/ArmorOfLight.ArmorOfLight'
AxionBolt,Axion Bolt,A bolt of Void Light which forks into smaller bolts on impact which seek toward enemies.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/AxionBolt.AxionBolt'
Backstab,Backstab,Hitting an enemy from behind with Blink Strike causes significantly more damage.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Backstab.Backstab'
BalancedGlide,Balanced Glide,Upgrades Glide to provide bonuses to both speed and control.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/BalancedGlide.BalancedGlide'
Bastion,Bastion,Increases the duration of Ward of Dawn.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Bastion.Bastion'
BetterControl,Better Control,Upgrades Double Jump for better directional control while in the air.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/BetterControl.BetterControl'
BlackHole,Black Hole,"The Void Anchor has increased range, lasts significantly longer and can tether more targets.",0,Texture2D'/Game/ReDestiny/Textures/Subclasses/BlackHole.BlackHole'
BlessingOfLight,Blessing of Light,Passing through Ward of Dawn grants you and your allies a temporary shield.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/BlessingOfLight.BlessingOfLight'
BlinkGlide,Blink,A short distance teleport which replaces Glide.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Blink.Blink'
BlinkJump,Blink,A short distance teleport that replaces Double Jump.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Blink.Blink'
BlinkStrike,Blink Strike,A powerful melee attack with extended range.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/BlinkStrike.BlinkStrike'
BloodBound,Blood Bound,Tethered enemies explode when killed. Damage to tethered enemies is shared to all.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/BloodBound.BloodBound'
Bloom,Bloom,Enemies killed by any of your abilities explode.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Bloom.Bloom'
Brimstone,Brimstone,Reduces the cooldown of Scorch. Killing enemies with Scorch causes them to explode.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Brimstone.Brimstone'
Catapult,Catapult,Upgrades Lift to provide a strong initial burst of momentum.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Catapult.Catapult'
Cauterize,Cauterize,Enemies brought down by your fire regenerate your health.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Cauterize.Cauterize'
ChainLightning,Chain Lightning,Your Thunderstrike chains to another nearby enemy.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/ChainLightning.ChainLightning'
ChainOfWoe,Chain of Woe,Precision kills increase weapon reload speed. Stacks up to 3 times.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/ChainOfWoe.ChainOfWoe'
ChaosOrder,Chaos Order,Training focused on raw speed.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/Warlock_StatBuff2.Warlock_StatBuff2'
CircleOfLife,Circle of Life,Precision kills with Throwing Knife reduce Golden Gun's cooldown.,0,Texture2D'/Game/ReDestiny/Textures/Subclasses/CircleOfLife.CircleOfLife'
